id_norma,tipo_norma,organismo_origen,fecha_sancion,texto_original
385196,Resolución,SECRETARIA DE TRABAJO,2023-05-11,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385196/norma.htm
385601,Resolución,SECRETARIA DE TRABAJO,2023-05-11,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385601/norma.htm
385600,Resolución,SECRETARIA DE TRABAJO,2023-05-11,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385600/norma.htm
385690,Resolución,SECRETARIA DE TRABAJO,2023-05-11,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385690/norma.htm
385594,Resolución,SECRETARIA DE TRABAJO,2023-05-11,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385594/norma.htm
385608,Resolución,SECRETARIA DE TRABAJO,2023-05-11,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385608/norma.htm
385611,Resolución,SECRETARIA DE TRABAJO,2023-05-11,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385611/norma.htm
385754,Resolución,SECRETARIA DE TRABAJO,2023-05-11,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385754/norma.htm
385607,Resolución,SECRETARIA DE TRABAJO,2023-05-11,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385607/norma.htm
385603,Resolución,SECRETARIA DE TRABAJO,2023-05-11,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385603/norma.htm
385606,Resolución,SECRETARIA DE TRABAJO,2023-05-11,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385606/norma.htm
385833,Resolución,SECRETARIA DE TRABAJO,2023-05-11,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385833/norma.htm
385595,Resolución,SECRETARIA DE TRABAJO,2023-05-11,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385595/norma.htm
385597,Resolución,SECRETARIA DE TRABAJO,2023-05-11,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385597/norma.htm
385693,Resolución,SECRETARIA DE TRABAJO,2023-05-11,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385693/norma.htm
385697,Resolución,SECRETARIA DE TRABAJO,2023-05-11,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385697/norma.htm
385598,Resolución,SECRETARIA DE TRABAJO,2023-05-11,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385598/norma.htm
385842,Resolución,SECRETARIA DE TRABAJO,2023-05-11,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385842/norma.htm
385696,Resolución,SECRETARIA DE TRABAJO,2023-05-11,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385696/norma.htm
385695,Resolución,SECRETARIA DE TRABAJO,2023-05-11,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385695/norma.htm
385841,Resolución,SECRETARIA DE TRABAJO,2023-05-11,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385841/norma.htm
385616,Resolución,SECRETARIA DE TRABAJO,2023-05-04,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385616/norma.htm
385691,Resolución,SECRETARIA DE TRABAJO,2023-05-04,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385691/norma.htm
385835,Resolución,SECRETARIA DE TRABAJO,2023-05-04,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385835/norma.htm
385610,Resolución,SECRETARIA DE TRABAJO,2023-05-04,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385610/norma.htm
385609,Resolución,SECRETARIA DE TRABAJO,2023-05-04,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385609/norma.htm
385839,Resolución,SECRETARIA DE TRABAJO,2023-05-04,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385839/norma.htm
385832,Resolución,SECRETARIA DE TRABAJO,2023-05-04,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385832/norma.htm
385830,Resolución,SECRETARIA DE TRABAJO,2023-05-04,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385830/norma.htm
385689,Resolución,SECRETARIA DE TRABAJO,2023-05-04,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385689/norma.htm
385838,Resolución,SECRETARIA DE TRABAJO,2023-05-04,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385838/norma.htm
385834,Resolución,SECRETARIA DE TRABAJO,2023-05-04,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385834/norma.htm
385592,Resolución,SECRETARIA DE TRABAJO,2023-05-04,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385592/norma.htm
385831,Resolución,SECRETARIA DE TRABAJO,2023-05-04,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385831/norma.htm
385593,Resolución,SECRETARIA DE TRABAJO,2023-05-04,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385593/norma.htm
385826,Resolución,SECRETARIA DE TRABAJO,2023-05-04,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385826/norma.htm
385829,Resolución,SECRETARIA DE TRABAJO,2023-05-04,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385829/norma.htm
385615,Resolución,SECRETARIA DE TRABAJO,2023-05-03,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385615/norma.htm
385528,Resolución,SECRETARIA DE TRABAJO,2023-05-03,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385528/norma.htm
385614,Resolución,SECRETARIA DE TRABAJO,2023-05-03,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385614/norma.htm
385529,Resolución,SECRETARIA DE TRABAJO,2023-05-03,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385529/norma.htm
385613,Resolución,SECRETARIA DE TRABAJO,2023-05-03,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385613/norma.htm
